Year,App,Taxon,Class,Order,Family,Genus,Importer,Exporter,Condition,Purpose,Source
2016,II,Eos rubra,Aves,Psittaciformes,Loriidae,Eos,Oman,South Africa,live,Commercial,Bred in captivity
2016,II,Eos rubra,Aves,Psittaciformes,Loriidae,Eos,Pakistan,Indonesia,live,Commercial,Bred in captivity
2016,II,Eos rubra,Aves,Psittaciformes,Loriidae,Eos,Qatar,Kuwait,live,Personal,Bred in captivity
2016,II,Eos rubra,Aves,Psittaciformes,Loriidae,Eos,Qatar,South Africa,live,Commercial,Bred in captivity
2016,II,Eos rubra,Aves,Psittaciformes,Loriidae,Eos,Singapore,Mozambique,live,Commercial,Bred in captivity
2016,II,Eos rubra,Aves,Psittaciformes,Loriidae,Eos,Suriname,Netherlands,live,Commercial,Bred in captivity
2016,II,Eos rubra,Aves,Psittaciformes,Loriidae,Eos,Taiwan,Indonesia,live,Commercial,Bred in captivity
2016,II,Eos rubra,Aves,Psittaciformes,Loriidae,Eos,United States of America,Singapore,specimens,Medical,Bred in captivity
2016,II,Eos semilarvata,Aves,Psittaciformes,Loriidae,Eos,Czech Republic,Indonesia,live,Commercial,Bred in captivity
2016,II,Eos squamata,Aves,Psittaciformes,Loriidae,Eos,Czech Republic,Indonesia,live,Commercial,Bred in captivity
2016,II,Eos squamata,Aves,Psittaciformes,Loriidae,Eos,Japan,Philippines,live,Commercial,Bred in captivity
2016,II,Eos squamata,Aves,Psittaciformes,Loriidae,Eos,Kuwait,Indonesia,live,Commercial,Bred in captivity
2016,II,Eos squamata riciniata,Aves,Psittaciformes,Loriidae,Eos,Oman,Indonesia,live,Commercial,Bred in captivity
2016,II,Eos squamata riciniata,Aves,Psittaciformes,Loriidae,Eos,Pakistan,Indonesia,live,Commercial,Bred in captivity
2016,II,Glossopsitta concinna,Aves,Psittaciformes,Loriidae,Glossopsitta,Israel,Belgium,live,Commercial,Bred in captivity
2016,II,Glossopsitta concinna,Aves,Psittaciformes,Loriidae,Glossopsitta,Israel,Netherlands,live,Commercial,Bred in captivity
2016,II,Glossopsitta concinna,Aves,Psittaciformes,Loriidae,Glossopsitta,Japan,New Zealand,live,Commercial,Bred in captivity
2016,II,Glossopsitta concinna,Aves,Psittaciformes,Loriidae,Glossopsitta,Taiwan,Belgium,live,Commercial,Bred in captivity
2016,II,Glossopsitta concinna,Aves,Psittaciformes,Loriidae,Glossopsitta,Taiwan,New Zealand,live,Commercial,Bred in captivity
2016,II,Glossopsitta concinna,Aves,Psittaciformes,Loriidae,Glossopsitta,Taiwan,Singapore,live,Commercial,Bred in captivity
2016,II,Lorius chlorocercus,Aves,Psittaciformes,Loriidae,Lorius,Argentina,Portugal,live,Commercial,Bred in captivity
2016,II,Lorius chlorocercus,Aves,Psittaciformes,Loriidae,Lorius,Iran,Kuwait,live,Personal,Wild
2016,II,Lorius chlorocercus,Aves,Psittaciformes,Loriidae,Lorius,Oman,Solomon Islands,live,Commercial,Wild
2016,II,Lorius chlorocercus,Aves,Psittaciformes,Loriidae,Lorius,Pakistan,Netherlands,live,Commercial,Bred in captivity
2016,II,Lorius chlorocercus,Aves,Psittaciformes,Loriidae,Lorius,Saudi Arabia,Kuwait,live,Commercial,Wild
2016,II,Lorius chlorocercus,Aves,Psittaciformes,Loriidae,Lorius,Turkey,Solomon Islands,live,Commercial,Wild
2016,II,Lorius chlorocercus,Aves,Psittaciformes,Loriidae,Lorius,Taiwan,Singapore,live,Commercial,Bred in captivity
2016,II,Lorius domicella,Aves,Psittaciformes,Loriidae,Lorius,Taiwan,Belgium,live,Commercial,Bred in captivity
2016,II,Lorius domicella,Aves,Psittaciformes,Loriidae,Lorius,Taiwan,Belgium,live,Commercial,Bred in captivity
2016,II,Lorius domicella,Aves,Psittaciformes,Loriidae,Lorius,Taiwan,Singapore,live,Commercial,Bred in captivity
2016,II,Lorius garrulus,Aves,Psittaciformes,Loriidae,Lorius,United Arab Emirates,Oman,live,Commercial,Bred in captivity
2016,II,Lorius garrulus,Aves,Psittaciformes,Loriidae,Lorius,Bangladesh,Indonesia,live,Commercial,Bred in captivity
2016,II,Lorius garrulus,Aves,Psittaciformes,Loriidae,Lorius,Bangladesh,Indonesia,live,Commercial,Bred in captivity
2016,II,Lorius garrulus,Aves,Psittaciformes,Loriidae,Lorius,Switzerland,Germany,live,Commercial,Bred in captivity
2016,II,Lorius garrulus,Aves,Psittaciformes,Loriidae,Lorius,Hong Kong,Syria,live,Commercial,Bred in captivity
2016,II,Lorius garrulus,Aves,Psittaciformes,Loriidae,Lorius,Jordan,Indonesia,live,Commercial,Bred in captivity
2016,II,Lorius garrulus,Aves,Psittaciformes,Loriidae,Lorius,Japan,Philippines,live,Commercial,Bred in captivity
2016,II,Lorius garrulus,Aves,Psittaciformes,Loriidae,Lorius,Japan,Singapore,live,Commercial,Bred in captivity
2016,II,Lorius garrulus,Aves,Psittaciformes,Loriidae,Lorius,Japan,Taiwan,eggs (live),Commercial,Bred in captivity
2016,II,Lorius garrulus,Aves,Psittaciformes,Loriidae,Lorius,South Korea,Philippines,live,Commercial,Bred in captivity
2016,II,Lorius garrulus,Aves,Psittaciformes,Loriidae,Lorius,Kuwait,Indonesia,live,Commercial,Bred in captivity
2016,II,Lorius garrulus,Aves,Psittaciformes,Loriidae,Lorius,Kuwait,Philippines,live,Breeding in captivity,Bred in captivity
2016,II,Lorius garrulus,Aves,Psittaciformes,Loriidae,Lorius,Mozambique,Indonesia,live,Commercial,Bred in captivity
2016,II,Lorius garrulus,Aves,Psittaciformes,Loriidae,Lorius,Nambia,South Africa,live,Breeding in captivity,Bred in captivity
2016,II,Lorius garrulus,Aves,Psittaciformes,Loriidae,Lorius,Oman,Indonesia,live,Commercial,Bred in captivity
